id,quantity,shipping,tax_charged,date_created,products_name,product_weight,products_price,products_active,products_was_price,products_image_back,products_description,products_image_front,products_image_small,products_image_medium,products_image_details
1,0,0,0,2013-02-20 10:38:33,Sid Cuddly Toy,140,9.95,inactive,0,product_back5892_sid.jpg,<p>Fans of Sid\xa0can own their very own Sid\xa0cuddly toy. Bring back those happy memories you had\xa0on holiday. You'll be able to cherish this exclusive soft toy for years to come.</p>,product_front4108_sid.jpg,product_small1783_sid.jpg,product_medium9713_sid.jpg,product_details1430_sid.jpg
2,0,0,0,2013-02-20 10:39:50,Lizzie Cuddly Toy,140,9.95,inactive,0,product_back6125_lizzie.jpg,<p>Fans of Lizzie\xa0can take their very own Lizzie\xa0cuddly toy back home. You'll be able to cherish this exclusive soft toy for years to come.</p>,product_front2088_lizzie.jpg,product_small9113_lizzie.jpg,product_medium1353_lizzie.jpg,product_details7849_lizzie.jpg
3,0,0,0,2013-02-20 10:42:19,Sid and Lizzie Cap Fushia,100,3.95,inactive,0,product_back5325_cap-magenta.jpg,"<p>Fans of Sid and Lizzie, this is the cap to be seen in!</p>\r\n<p>Featuring Sid and Lizzie printed on the front of the cap. One size fits all with adjustable Velcro strap. Embroidered vents in the top keep your head cool.</p>",product_front6198_cap-magenta.jpg,product_small7348_cap-magenta.jpg,product_medium2416_cap-magenta.jpg,product_details9340_cap-magenta.jpg
4,0,0,0,2013-02-20 10:42:53,Sid and Lizzie Cap Blue,100,3.95,inactive,0,product_back9289_cap-blue.jpg,"<p>Fans of Sid and Lizzie, this is the cap to be seen in!</p>\r\n<p>Featuring Sid and Lizzie printed on the front of the cap. One size fits all with adjustable Velcro strap. Embroidered vents in the top keep your head cool.</p>",product_front2683_cap-blue.jpg,product_small7931_cap-blue.jpg,product_medium6529_cap-blue.jpg,product_details3540_cap-blue.jpg
5,0,0,0,2013-02-20 10:43:47,Lizzie Pencil Case,100,3.95,inactive,0,product_back9659_purse.jpg,<p>The Lizzie pencil case will keep all of your school essentials in one place</p>,product_front3406_purse.jpg,product_small7106_purse.jpg,product_medium4696_purse.jpg,product_details5543_purse.jpg
6,0,0,0,2013-02-20 10:44:19,Sid Wallet,100,4.95,inactive,0,product_back4859_wallet.jpg,"<p>The Sid wallet\xa0features a Velcro strip fastener, that pulls open to reveal\xa0a variety of compartments to hold money, cards and other items. The wallet also features a zipped compartment for all that loose change and a clear plastic panel for you to display your favourite photo. The wallet also comes with a plastic belt loop clip and flexible strap.</p>",product_front5055_wallet.jpg,product_small6528_wallet.jpg,product_medium7249_wallet.jpg,product_details4108_wallet.jpg
7,0,0,0,2013-02-20 10:44:57,Sid Character Straw,100,0.95,inactive,0,product_back6545_sid_straw.png,<p>These character drinking straws are great fun. Featuring a moulded PVC Sid on a bright yellow\xa0twisty drinking straw. You will be the envy of all your friends.</p>\r\n<p>Small parts may present a choking hazard</p>,product_front9657_sid_straw.png,product_small6058_sid_straw.png,product_medium8275_sid_straw.png,product_details4235_sid_straw.png
8,0,0,0,2013-02-20 10:45:24,Lizzie Character Straw,100,0.95,inactive,0,product_back6192_lizzie_straw.png,<p>These character drinking straws are great fun. Featuring a moulded PVC Lizzie on a bright pink\xa0twisty drinking straw. You will be the envy of all your friends.\xa0</p>\r\n<p>Small parts may present a choking hazard.</p>,product_front1493_lizzie_straw.png,product_small6575_lizzie_straw.png,product_medium9771_lizzie_straw.png,product_details4849_lizzie_straw.png
9,0,0,0,2013-02-20 10:48:10,Sid and Lizzie photoframe,100,4.75,inactive,0,product_back2087_Photo-Frame.jpg,"<p>What better way to remember your holiday than with this lovely bright and colourful Sid and Lizzie Photo Frame, itâ€™s just perfect to put your favourite Holiday snap in.</p>",product_front4491_Photo-Frame.jpg,product_small1169_Photo-Frame.jpg,product_medium2074_Photo-Frame.jpg,product_details3078_Photo-Frame.jpg
11,0,0,0,2013-02-20 10:49:28,Sid and Lizzie Armbands,101,3.45,inactive,0,product_back5514_arm-bands.jpg,"<p>Going swimming? These Sid and Lizzie armbands would be perfect at the pool!</p>\r\n<p>They feature both Sid and Lizzie printed on them, with valves to inflate/deflate.</p>",product_front2661_arm-bands.png,product_small6711_arm-bands.jpg,product_medium3879_arm-bands.jpg,product_details9556_arm-bands.jpg
14,0,0,0,2013-02-20 15:04:01,Sid and Lizzie T-shirt 7-8 Year,101,5.95,inactive,0,product_back6797_tshirt.jpg,<p>This lovely Blue T-shirt has pink edgings and features both Sid and Lizzie printed on the front.</p>\r\n<p>The T-shirt is made from 100% Cotton and is Sized <em>7-8 years</em></p>,product_front4362_tshirt.jpg,product_small8413_tshirt.jpg,product_medium4078_tshirt.jpg,product_details1582_tshirt.jpg
15,0,0,0,2013-03-20 11:14:57,Alarm Clock,100,6.95,inactive,0,product_back7976_S&L - Alarm Clock.jpg,"<p>This lovely bright Alarm clock, featuring both Sid and Lizzie on the clock face, would be the perfect thing to wake you up in the mornings and bring back all those happy memories of your holiday.</p>",product_front1246_0day.jpg,product_small1180_S&L - Alarm Clock - Front.jpg,product_medium7340_S&L - Alarm Clock - Front.jpg,product_details6631_S&L - Alarm Clock.jpg
16,0,0,0,2013-03-20 11:17:07,Shower Gel,100,1.95,inactive,0,product_back3078_Sid & Lizzie 3.jpg,<p>These funky Sid and Lizzie shower gels are perfect for making bath time more fun!\xa0The shower gel has a fresh lemon scent.</p>,product_front3912_Sid & Lizzie 3.jpg,product_small1026_Sid & Lizzie 3.jpg,product_medium7914_Sid & Lizzie 3.jpg,product_details1953_Sid & Lizzie 3.jpg
17,0,0,0,2013-05-21 10:36:26,Sid and Lizzie Party Dance CD,100,5.45,inactive,0,product_back4654_SID&LIZZIE_CD.png,<p>Sid and Lizzie have released a brand new party dance CD featuring new and unreleased tracks!</p>,product_front5941_SID&LIZZIE_CD.png,product_small7932_SID&LIZZIE_CD.png,product_medium8213_SID&LIZZIE_CD.png,product_details4189_SID&LIZZIE_CD.png
19,0,0,0,2013-10-28 10:31:57,Sid and Lizzie T-shirt 5-6 Years,101,5.95,inactive,0,product_back3584_tshirt.png,<p>This lovely blue T-shirt has pink edgings and features both Sid and Lizzie printed on the front.</p>\r\n<p>\xa0</p>\r\n<p>The T-shirt is made from 100% cotton and is sized 5-6 years.\xa0</p>,product_front6101_tshirt.png,product_small3158_tshirt.png,product_medium3956_tshirt.jpg,product_details6134_tshirt.png
21,0,0,0,2014-03-25 11:36:28,Sid and Lizzie Projector Watch,100,4.5,inactive,0,<blank>,"<p>Be the envy of all your friends with this funky projector watch. Not only is this a watch, it also projects an image of Sid and Lizzie on any flat surface. Works best in a dim lit environment.</p>",<blank>,<blank>,product_medium7321_Screen shot 2014-03-25 at 12.15.01.png,<blank>
22,0,0,0,2014-03-25 11:41:07,Sid and Lizzie Trolley Bag,100,8.95,inactive,0,<blank>,"<p>New for 2014, Sid and Lizzie have a trolley bag featuring themselves and Star Town. The hand travel accessory is great for the airport, beach even school. Featuring a zip to hold all of your items safely inside and an extendable trolley handle.</p>",<blank>,<blank>,product_medium8999_Screen shot 2014-03-25 at 11.35.10.png,<blank>
23,0,0,0,2014-03-25 11:44:41,Sid Sunglasses,100,2.5,inactive,0,<blank>,<p>Fancy being cool like Sid??!! Then get hold of your very own Sid sunglasses. 100% UV protected. One size fits all</p>,<blank>,<blank>,product_medium7250_Screen shot 2014-03-25 at 11.50.24.png,<blank>
24,0,0,0,2014-03-25 11:51:52,Lizzie Sunglasses,100,2.5,inactive,0,<blank>,"<p>Lizzie sunglasses, the ultimate fashion accessory. 100% UV protected.\xa0</p>",<blank>,<blank>,product_medium1930_Screen shot 2014-03-25 at 11.35.23.png,<blank>
25,0,0,0,2014-03-25 12:05:32,Lizzie Purse,100,2.95,inactive,0,<blank>,"<p>Lizzie has released a brand new purse. Made of high quality silicone, this purse will be a big hit for all the Lizzie fans out there!</p>",<blank>,<blank>,product_medium5147_lizzie_purse_new.jpg,<blank>

